ID,GPR50,MYH1,MT2A,E2F8,MYH4,MTNR1B,GLP2R,GNAO1,EGF,BUB1B,MMP3,PLK1,MMP1,MT1E,MT1F,FOXM1,E2F1,MYH7,CCL20,MMP9,CDC20,GLP1R,ADRA1D,MT1G,ADRA1A,IGF1,MT1X,CDK1,MYH8,GNG4,MYH13
GSM4284727,0,7,2647,176,540,237,1,4,1,522,1,510,28,1245,542,823,647,0,2390,786,1303,0,288,1703,24,245,237,1325,3,610,1
GSM4284728,0,0,28184,4,1,1,20,719,1,3,1,16,0,9006,3943,53,23,0,23,10,12,1,4,35217,1603,3683,6527,18,0,0,0
GSM4284729,0,0,3112,86,1,1,9,7,155,298,1,739,18,2041,841,881,336,0,147,1001,1354,332,3,1931,2,7,300,1564,0,198,0
GSM4284730,0,1,26944,2,1,1,16,668,0,4,2,36,1,11280,3974,80,8,0,0,17,9,3,3,15498,2017,3356,7569,20,0,0,1
GSM4284731,1,0,1281,99,0,0,55,20,0,293,32,388,44,699,96,1239,1179,2,561,119,527,1,4,132,2,258,130,423,1,3,9
GSM4284732,0,0,13419,4,1,1,5,184,1,5,1,17,0,3936,1419,47,23,0,32,8,9,0,0,10416,743,506,2182,10,0,1,1
GSM4284733,0,0,7482,61,0,1,0,36,0,81,1,14,88,4203,63,252,562,0,137,3,271,0,4,600,961,642,2647,494,0,373,0
GSM4284734,0,1,16282,2,23,1,8,273,1,3,0,16,0,4829,420,37,9,3,203,33,13,0,3,1664,689,406,2453,11,1,8,1
GSM4284735,1,0,11291,65,1,1,1,61,30,51,0,79,0,2200,53,197,102,1,208,78,111,1,1,120,614,483,168,204,1,20,1
GSM4284736,0,0,18206,14,3,1,13,779,0,7,1,24,5,6782,2658,88,42,1,77,9,26,1,1,10919,1354,1863,2155,33,0,1,1
GSM4284737,0,1,3845,809,0,1,6,155,2,154,912,965,55,1620,890,373,274,4,1055,21,313,1,8,3754,149,176,821,798,0,1,1
GSM4284738,0,1,20713,3,0,1,9,890,1,2,4,19,1,8091,3425,28,7,0,11,4,8,1,1,20399,1100,1278,6570,4,1,0,1
GSM4284739,0,43,954,16,17940,1,6,34,29,41,1,51,12,28,18,65,33,1,205,1861,75,3,0,1,7,30,24,125,2,2,30
GSM4284740,0,1,9890,19,1,1,7,378,0,22,3,22,0,2117,572,77,36,4,317,139,39,2,1,2488,737,469,926,65,1,13,1
GSM4284741,0,4,4262,11,5,1,12,251,1,24,22,32,25,1116,44,89,28,0,37,1421,24,1,5,537,84,1493,1129,79,2,61,6
GSM4284742,0,1,19603,6,23,1,24,811,2,10,2,29,0,6565,942,71,25,0,17,36,22,6,0,4046,1149,571,3015,19,1,1,2
GSM4284743,0,0,657,53,0,2,5,410,81,51,10,36,18,69,7,152,360,0,361,25,83,1,3,36,351,159,53,171,1,3,1
GSM4284744,0,0,10210,2,0,1,9,286,1,8,1,17,0,1950,277,61,13,0,5,19,18,2,1,1193,1326,4069,1791,9,0,1,0
GSM6616574,3,0,4030,29,0,0,133,95,0,25,0,59,3,551,50,174,102,0,569,339,67,12,10,91,70,180,427,68,0,1,8
GSM6616575,0,10,152,63,1844,1,48,25,0,111,1,264,14,25,8,400,238,0,143,40,150,0,0,7,6,44,9,317,1,62,2
GSM6616576,1,44,102,137,4568,436,1,36,7,260,7,264,19,112,94,891,293,10,9124,177,366,142,10,32,29,37,21,571,16,432,13
GSM6616577,3,0,965,147,0,14,1,19,2,555,0,453,52,1044,338,1315,400,3,1201,516,805,59,1,580,18,46,267,617,0,406,0
GSM6616578,0,3,1579,18,18,0,11,104,0,53,0,71,39,60,18,110,103,1,282,53,139,315,8,7,48,878,226,105,0,156,1
GSM6616579,1,2,540,48,1332,1,4,30,0,79,0,87,17,5,11,184,105,0,437,25,126,0,1,1,194,2295,148,100,0,22,4
GSM6616580,4,58,82,201,3103,11,0,19,0,189,0,253,0,7,7,712,549,0,39,4,315,0,1,7,786,738,154,394,18,0,1
GSM6616581,0,0,2382,118,0,0,0,56,3,141,5,188,4,1151,103,504,262,0,8,14,242,1,0,528,106,29,343,310,0,215,0
GSM6616582,0,0,10274,21,0,0,4,432,0,43,40,102,16,2664,80,225,161,0,214,723,129,3,5,542,54,273,1407,85,0,148,0
GSM6616583,0,0,895,115,0,0,0,69,0,130,0,164,6,389,17,381,456,0,72,28,198,0,5,90,1162,4745,160,131,0,1,0
GSM6616584,0,6,68,193,3992,445,0,17,1,222,7,237,6,6,2,675,569,0,622,65,233,53,22,0,97,188,2,577,0,48,10
GSM6616585,0,0,953,129,0,0,10,63,0,227,0,510,126,148,21,1132,327,1,346,1405,527,28,1,52,7,42,98,592,0,1350,0
GSM6616586,1,0,132,140,5,6,0,4,2,222,2,982,30,7,5,974,762,0,2857,435,716,14,0,13,3,2316,14,1014,0,9,0
GSM6616587,0,0,4887,36,1,17,2,315,1,33,0,64,1,2273,109,179,79,0,727,86,38,4,0,759,2583,1317,1110,83,0,5,1
GSM6616588,0,0,3271,12,0,0,0,137,0,18,416,29,369,848,10,103,43,1,26,41,38,5,4,219,292,572,590,51,0,0,0
GSM6616589,0,0,410,204,0,0,0,232,2,252,0,304,12,43,17,622,2197,0,40,18,264,0,0,9,616,519,39,400,0,7,0
GSM6616590,1,0,1041,104,0,3,0,1306,1,203,1,227,27,8,32,620,325,0,193,132,321,1,7,171,196,231,204,331,0,1020,0
GSM6616591,0,23,1313,20,18602,0,0,130,1,29,0,48,3,48,28,110,124,0,80,120,70,14,0,34,263,553,309,75,7,27,16
GSM6616592,0,3,1510,33,2102,0,4,49,182,53,0,81,3,266,46,176,183,0,418,53,129,0,10,119,30,112,61,165,3,19,8
GSM6616593,0,0,1491,6,4,1,1,562,1,17,1,24,5,444,25,119,118,3,144,18,47,3,0,240,134,202,82,36,2,0,0
GSM6616594,0,46,5664,53,10,0,10,7,133,168,9,393,184,1093,100,690,520,0,339,5403,650,0,0,204,2,91,1013,268,31,23,105
GSM6616595,0,0,301,89,10,0,60,17,0,235,0,291,0,53,4,1030,308,1,1024,352,298,201,0,17,38,77,18,577,0,523,9
GSM6616596,0,0,561,96,0,0,0,239,1,167,0,224,0,361,34,412,452,0,78,58,249,0,0,25,8,908,43,267,1,7,0
GSM6616597,0,1,4173,76,17,1,1,13,1,134,0,267,0,1706,549,523,213,0,291,142,161,46,24,2169,26,19,458,372,0,61,0
GSM6616598,2,9,4654,57,3666,4,1,36,21,113,163,280,199,45,23,302,308,1,3845,3981,366,0,88,110,202,71,496,198,0,21,8
GSM6616599,0,0,571,77,113,0,1,22,343,146,3,380,101,15,15,518,405,0,1500,1781,295,1,206,11,54,163,20,364,0,119,0
GSM6616600,0,4,569,120,11,0,3,11,0,262,0,332,5,47,14,1003,434,1,4834,2266,334,127,17,36,1,103,53,428,0,458,1
GSM6616601,0,12,1101,223,717,2,2,45,0,157,0,454,6,678,58,999,972,0,13,73,453,1,0,50,149,120,94,340,11,35,39
GSM6616602,0,0,3581,72,11,23,32,130,13,110,0,108,1,997,87,402,177,0,510,205,200,16,0,691,902,1686,465,220,0,6,0
GSM6616603,23,32,5493,153,32,39,5,317,0,222,0,679,0,2001,280,942,824,0,1156,132,1594,25,0,896,207,1382,368,461,12,11,1
GSM6616604,0,4,1085,137,0,1,6,442,1,281,1,541,19,187,46,1384,323,4,401,496,446,29,5,159,2,74,235,426,1,1572,5
GSM6616605,1,1,3006,74,120,1,4,113,1,124,0,147,6,1169,19,349,213,0,128,206,294,188,0,170,371,511,173,166,0,14,0
GSM6616606,0,32,548,25,12091,13,1,16,0,43,0,61,7,7,1,163,106,1,563,172,70,1,0,1,306,160,19,110,2,26,19
GSM6616607,0,0,282,100,0,0,0,8,0,208,0,250,8,34,5,714,223,0,523,339,354,123,0,16,5,150,56,343,0,175,0
GSM6616608,1,0,2544,97,30,0,11,1185,39,156,4,200,110,1501,146,435,564,0,303,142,410,52,0,731,265,1168,261,391,0,200,0
GSM6616609,0,0,22331,11,1,0,32,228,0,6,0,11,0,8050,1244,29,25,3,17,26,9,0,1,7422,866,946,3329,14,0,0,0
GSM6616610,0,14,454,63,4287,0,13,14,1,112,0,149,1,28,11,533,306,1,609,138,181,8,89,9,9,143,23,289,1,151,11
GSM6616611,0,2,64490,14,55,0,14,278,4,9,0,44,0,20394,13679,87,61,0,20,31,35,0,0,116683,1515,1196,32776,31,0,0,0
GSM6616612,1,0,63166,63,1,0,9,76,36,125,1,159,5,22799,14989,336,270,0,98,116,181,1,1,44290,193,259,11623,157,0,0,0
GSM6616613,0,17,1018,103,13,1,9,13,17,165,20,446,40,72,55,422,377,18,330,139,345,0,10,179,13,19,158,234,3,16,4
GSM6616614,1,0,17965,34,0,0,0,8,0,44,0,53,13,8813,1227,200,75,0,3,16,87,0,1,6774,36,14,2757,71,0,4,0
GSM6616615,0,0,4426,71,0,0,0,34,1,77,0,76,11,1674,23,175,254,0,26,11,123,1,0,576,1438,598,879,177,0,153,0
GSM6616616,1565,2,480,57,1315,23,4,31,0,103,0,183,11,74,17,355,231,0,1146,1409,156,93,17,32,61,271,45,237,1,27,6
GSM6616617,0,0,3701,65,0,0,15,9,0,145,2,250,79,1577,125,720,259,0,785,1531,343,3,7,423,5,64,422,415,0,445,0
GSM6616618,3,36,7005,38,847,2,18,283,11,43,9,52,4,1943,40,102,106,26,22,21,68,7,17,77,1357,1471,1341,77,15,4,36
GSM6616619,0,10,2385,104,7,0,115,126,85,261,16,397,17,597,103,870,278,0,610,409,279,195,17,250,68,268,221,416,0,13,0
GSM6616620,0,1,998,219,39,2097,0,609,415,174,0,287,21,179,25,694,598,0,555,30,236,3,5,45,1078,444,223,407,0,0,0
GSM6616621,0,2,724,43,0,0,13,326,248,147,0,186,21,142,10,307,264,0,193,106,261,0,42,13,79,199,234,162,0,8,0
GSM6616622,1,0,3481,94,2,514,0,4,0,123,0,239,21,1470,285,805,455,0,370,256,465,326,4,1046,765,2453,472,314,0,115,0
GSM6616623,0,0,557,73,0,795,2,184,236,139,3,257,4,188,19,577,456,0,299,312,409,1,0,135,528,294,117,550,0,42,0
GSM6616624,0,11,2759,84,1,0,0,33,0,228,6,304,7,1044,272,758,382,0,336,451,337,3,4,535,55,50,299,411,9,592,9
